Timestamp,Gender,Age Group ,"How many hours do you spend daily watching short-form videos (TikTok, Reels, Shorts)? ",How many times do you open short-video apps per hour? ,Have you tried to reduce your short-video usage? , Do you feel like you lose track of time once you start scrolling?,Do you find it difficult to stop watching even when you have urgent tasks?,Do you feel annoyed or bored quickly when watching long-form videos (more than 10 minutes)?,Do you use short videos as a primary way to escape from stress or boredom?,Have you noticed that your sleep quality or bedtime is affected by watching? ,Target
28/03/2026 21:25,0,1,3,3,1,3,3,1,3,2,2
28/03/2026 21:33,0,1,3,3,2,3,1,1,3,2,2
28/03/2026 21:53,0,1,0,0,1,1,1,1,0,2,0
28/03/2026 21:55,0,0,3,3,2,2,3,1,1,1,2
28/03/2026 21:58,0,1,3,3,0,2,1,1,0,1,1
28/03/2026 21:59,0,2,3,2,2,3,3,1,3,2,2
28/03/2026 22:00,1,1,0,2,1,2,1,0,2,1,1
28/03/2026 22:00,0,1,2,3,1,3,2,1,3,2,2
28/03/2026 22:01,0,1,0,0,1,2,0,0,3,0,0
28/03/2026 22:02,0,0,0,0,0,1,1,0,1,2,0
28/03/2026 22:03,1,1,3,2,2,3,2,0,0,1,2
28/03/2026 22:03,1,2,2,2,2,1,2,1,2,0,2
28/03/2026 22:04,1,0,1,1,1,1,1,1,0,0,0
28/03/2026 22:04,1,1,2,1,0,0,0,1,2,1,0
28/03/2026 22:10,1,2,1,1,0,2,1,1,2,1,1
28/03/2026 22:12,0,2,1,2,0,1,0,1,1,1,0
28/03/2026 22:13,1,0,3,3,2,3,3,1,3,2,2
28/03/2026 22:15,1,2,0,0,1,1,0,0,0,0,0
28/03/2026 22:16,0,1,2,2,1,2,2,0,0,0,1
28/03/2026 22:37,0,1,1,1,1,2,1,1,1,1,1
28/03/2026 22:57,0,1,3,2,1,2,2,0,2,1,2
28/03/2026 23:03,0,2,3,3,0,2,1,1,2,2,2
28/03/2026 23:24,0,1,2,3,1,1,2,1,1,1,2
28/03/2026 23:31,0,1,0,1,2,1,0,0,0,2,0
